kingdom,class,category,species,organism_description,kegg_organism_code,kegg_organism_description,
Eukaryotes,Protists,Protists,Dictyostelium discoideum,basic dungeon monster, ddi,Dictyostelium discoideum (cellular slime mold),
Eukaryotes,Fungi,Fungi,Saccharomyces cerevisiae,bakers yeast,sce,Saccharomyces cerevisiae (budding yeast),
Eukaryotes,Fungi,Fungi,Schizosaccharomyces pombe,yeast,spo,Schizosaccharomyces pombe (fisdsion yeast),
Eukaryotes,Plants,Vascular plants,Arabidopsis thaliana,model plant,ath,Arabidopsis thaliana (thale cress),
Eukaryotes,Plants,Vascular plants,Zea mays,diploid monocot cereal grain (Maize/corn),zma,Zea mays (maize),
Eukaryotes,Plants,Vascular plants,Medicago truncatula,model legume,mtr,Medicago truncatula (barrel medic),
Eukaryotes,Plants,Vascular plants,Oryza sativa,rice (model cereal),osa,Oryza sativa japonica (Japanese rice) (RefSeq),
Eukaryotes,Plants,Vascular plants,Oryza sativa,rice (model cereal),dosa,Oryza sativa japonica (Japanese rice) (RAPDB),
Eukaryotes,Plants,other Archaeplastida,Chlamydomonas reinhardtii,unicellular green alga,cre,Chlamydomonas reinhardtii,
Eukaryotes,Animals,Invertebrates,Caenorhabditis elegans,nematode (aka C. elegans),cel,Caenorhabditis elegans (nematode),
Eukaryotes,Animals,Invertebrates,Drosophila melanogaster,fruit fly,dme,Drosophila melanogaster (fruit fly),
Eukaryotes,Animals,Vertebrates,Canis lupus familiaris,dog,cfa,Canis lupus familiaris (dog),
Eukaryotes,Animals,Vertebrates,Rattus norvegicus,rat,rno,Rattus norvegicus (rat),
Eukaryotes,Animals,Vertebrates,Danio rerio,zebrafish,dre,Danio rerio (zebrafish),
Eukaryotes,Animals,Vertebrates,Taeniopygia guttata,Taeniopygia guttata (zebra finch),tgu,zebra finch,
Eukaryotes,Animals,Vertebrates,Mus musculus,Mus musculus (house mouse),mmu,mouse,
Eukaryotes,Animals,Vertebrates,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat),hgl,naked mole-rat,
Eukaryotes,Animals,Vertebrates,Poecilia reticulata,Poecilia reticulata (guppy),pret,guppy,
Eukaryotes,Animals,Invertebrates,Ciona intestinalis,sea squirt,cin,Ciona intestinalis (yellow sea squirt),
Eukaryotes,Plants,Vascular plants,Selaginella moellendorffii,remnant of an ancient lineage of vascular plants (fern),smo,Selaginella moellendorffii,
Eukaryotes,Fungi,Fungi,Aspergillus nidulans,mold,ani,Aspergillus nidulans,