pathway_name,pathway_description
hsa01100,Metabolic pathways - Homo sapiens (human)
hsa01200,Carbon metabolism - Homo sapiens (human)
hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human)
hsa01212,Fatty acid metabolism - Homo sapiens (human)
hsa01232,Nucleotide metabolism - Homo sapiens (human)
hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa00052,Galactose metabolism - Homo sapiens (human)
hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa00500,Starch and sucrose metabolism - Homo sapiens (human)
hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)
hsa00620,Pyruvate metabolism - Homo sapiens (human)
hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
hsa00640,Propanoate metabolism - Homo sapiens (human)
hsa00650,Butanoate metabolism - Homo sapiens (human)
hsa00562,Inositol phosphate metabolism - Homo sapiens (human)
hsa00910,Nitrogen metabolism - Homo sapiens (human)
hsa00920,Sulfur metabolism - Homo sapiens (human)
hsa00561,Glycerolipid metabolism - Homo sapiens (human)
hsa00564,Glycerophospholipid metabolism - Homo sapiens (human)
hsa00565,Ether lipid metabolism - Homo sapiens (human)
hsa00600,Sphingolipid metabolism - Homo sapiens (human)
hsa00590,Arachidonic acid metabolism - Homo sapiens (human)
hsa00591,Linoleic acid metabolism - Homo sapiens (human)
hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human)
hsa00230,Purine metabolism - Homo sapiens (human)
hsa00240,Pyrimidine metabolism - Homo sapiens (human)
hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"
hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)"
hsa00270,Cysteine and methionine metabolism - Homo sapiens (human)
hsa00330,Arginine and proline metabolism - Homo sapiens (human)
hsa00340,Histidine metabolism - Homo sapiens (human)
hsa00350,Tyrosine metabolism - Homo sapiens (human)
hsa00360,Phenylalanine metabolism - Homo sapiens (human)
hsa00380,Tryptophan metabolism - Homo sapiens (human)
hsa00410,beta-Alanine metabolism - Homo sapiens (human)
hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human)
hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human)
hsa00450,Selenocompound metabolism - Homo sapiens (human)
hsa00470,D-Amino acid metabolism - Homo sapiens (human)
hsa00480,Glutathione metabolism - Homo sapiens (human)
hsa00730,Thiamine metabolism - Homo sapiens (human)
hsa00740,Riboflavin metabolism - Homo sapiens (human)
hsa00750,Vitamin B6 metabolism - Homo sapiens (human)
hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
hsa00780,Biotin metabolism - Homo sapiens (human)
hsa00785,Lipoic acid metabolism - Homo sapiens (human)
hsa00830,Retinol metabolism - Homo sapiens (human)
hsa00860,Porphyrin metabolism - Homo sapiens (human)
hsa00232,Caffeine metabolism - Homo sapiens (human)
hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
hsa04979,Cholesterol metabolism - Homo sapiens (human)
hsa05230,Central carbon metabolism in cancer - Homo sapiens (human)
hsa05231,Choline metabolism in cancer - Homo sapiens (